"","rules","support","confidence","lift"
"31","{Seasons=0.33,Childish disease=1,Surgeries=1,alcohol consumption=0.8} => {diagnosis=O}",0.01,1,8.33333333333333
"32","{Seasons=0.33,Age=30-36,Accident/trauma=0,alcohol consumption=0.8} => {diagnosis=O}",0.01,1,8.33333333333333
"33","{Seasons=0.33,Accident/trauma=0,alcohol consumption=0.8,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"34","{Seasons=0.33,Accident/trauma=0,fevers in past year=0,alcohol consumption=0.8} => {diagnosis=O}",0.01,1,8.33333333333333
"35","{Seasons=0.33,Accident/trauma=0,alcohol consumption=0.8,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"36","{Seasons=0.33,Childish disease=1,Accident/trauma=0,alcohol consumption=0.8} => {diagnosis=O}",0.01,1,8.33333333333333
"37","{Seasons=0.33,Age=30-36,Surgeries=1,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"38","{Seasons=0.33,Age=30-36,Accident/trauma=0,Surgeries=1} => {diagnosis=O}",0.01,1,8.33333333333333
"39","{Seasons=0.33,Age=30-36,Surgeries=1,fevers in past year=0} => {diagnosis=O}",0.01,1,8.33333333333333
"40","{Seasons=0.33,Age=30-36,Surgeries=1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"41","{Seasons=0.33,Age=30-36,Childish disease=1,Surgeries=1} => {diagnosis=O}",0.01,1,8.33333333333333
"42","{Seasons=0.33,Accident/trauma=0,Surgeries=1,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"43","{Seasons=0.33,Surgeries=1,fevers in past year=0,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"44","{Seasons=0.33,Surgeries=1,smoking habbit=-1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"45","{Seasons=0.33,Childish disease=1,Surgeries=1,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"46","{Seasons=0.33,Accident/trauma=0,Surgeries=1,fevers in past year=0} => {diagnosis=O}",0.01,1,8.33333333333333
"47","{Seasons=0.33,Accident/trauma=0,Surgeries=1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"48","{Seasons=0.33,Childish disease=1,Accident/trauma=0,Surgeries=1} => {diagnosis=O}",0.01,1,8.33333333333333
"49","{Seasons=0.33,Surgeries=1,fevers in past year=0,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"50","{Seasons=0.33,Childish disease=1,Surgeries=1,fevers in past year=0} => {diagnosis=O}",0.01,1,8.33333333333333
"51","{Seasons=0.33,Childish disease=1,Surgeries=1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"52","{Seasons=0.33,Accident/trauma=0,fevers in past year=0,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"53","{Seasons=1,Surgeries=1,fevers in past year=-1,alcohol consumption=1} => {diagnosis=O}",0.01,1,8.33333333333333
"54","{Seasons=1,Age=30-36,fevers in past year=-1,alcohol consumption=1} => {diagnosis=O}",0.01,1,8.33333333333333
"55","{Seasons=1,fevers in past year=-1,alcohol consumption=1,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"56","{Seasons=1,Accident/trauma=0,fevers in past year=-1,alcohol consumption=1} => {diagnosis=O}",0.01,1,8.33333333333333
"57","{Seasons=1,fevers in past year=-1,alcohol consumption=1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"58","{Seasons=1,Childish disease=1,fevers in past year=-1,alcohol consumption=1} => {diagnosis=O}",0.01,1,8.33333333333333
"59","{Seasons=1,Age=30-36,Surgeries=1,fevers in past year=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"60","{Seasons=1,Surgeries=1,fevers in past year=-1,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"61","{Seasons=1,Accident/trauma=0,Surgeries=1,fevers in past year=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"62","{Seasons=1,Surgeries=1,fevers in past year=-1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"63","{Seasons=1,Childish disease=1,Surgeries=1,fevers in past year=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"64","{Seasons=1,Age=30-36,fevers in past year=-1,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"65","{Seasons=1,Age=30-36,Accident/trauma=0,fevers in past year=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"66","{Seasons=1,Accident/trauma=0,fevers in past year=-1,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"67","{Seasons=1,fevers in past year=-1,smoking habbit=-1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"68","{Seasons=1,Childish disease=1,fevers in past year=-1,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"69","{Seasons=1,Accident/trauma=0,fevers in past year=-1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"70","{Seasons=1,Childish disease=1,Accident/trauma=0,fevers in past year=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"71","{Accident/trauma=0,Surgeries=1,fevers in past year=-1,alcohol consumption=1} => {diagnosis=O}",0.01,1,8.33333333333333
"72","{Surgeries=1,fevers in past year=-1,alcohol consumption=1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"73","{Age=30-36,Accident/trauma=0,fevers in past year=-1,alcohol consumption=1} => {diagnosis=O}",0.01,1,8.33333333333333
"74","{Age=30-36,fevers in past year=-1,alcohol consumption=1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"75","{Accident/trauma=0,fevers in past year=-1,alcohol consumption=1,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"76","{fevers in past year=-1,alcohol consumption=1,smoking habbit=-1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"77","{Accident/trauma=0,fevers in past year=-1,alcohol consumption=1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"78","{Childish disease=1,Accident/trauma=0,fevers in past year=-1,alcohol consumption=1} => {diagnosis=O}",0.01,1,8.33333333333333
"79","{Childish disease=1,fevers in past year=-1,alcohol consumption=1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"80","{Age=30-36,Accident/trauma=0,Surgeries=1,fevers in past year=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"81","{Age=30-36,Surgeries=1,fevers in past year=-1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"82","{Age=30-36,Childish disease=1,Accident/trauma=0,fevers in past year=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"83","{Seasons=-1,Childish disease=0,alcohol consumption=0.6,smoking habbit=0} => {diagnosis=O}",0.01,1,8.33333333333333
"84","{Seasons=1,Childish disease=0,alcohol consumption=0.6,smoking habbit=0} => {diagnosis=O}",0.01,1,8.33333333333333
"85","{Childish disease=0,Surgeries=1,alcohol consumption=0.6,smoking habbit=0} => {diagnosis=O}",0.02,1,8.33333333333333
"86","{Age=30-36,Childish disease=0,alcohol consumption=0.6,smoking habbit=0} => {diagnosis=O}",0.02,1,8.33333333333333
"87","{Childish disease=0,Accident/trauma=0,alcohol consumption=0.6,smoking habbit=0} => {diagnosis=O}",0.02,1,8.33333333333333
"88","{Childish disease=0,fevers in past year=0,alcohol consumption=0.6,smoking habbit=0} => {diagnosis=O}",0.02,1,8.33333333333333
"89","{Childish disease=0,alcohol consumption=0.6,smoking habbit=0,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.02,1,8.33333333333333
"90","{Seasons=-1,Childish disease=0,Accident/trauma=0,alcohol consumption=0.6} => {diagnosis=O}",0.01,1,8.33333333333333
"91","{Seasons=1,Childish disease=0,Surgeries=1,alcohol consumption=0.6} => {diagnosis=O}",0.01,1,8.33333333333333
"92","{Seasons=1,Age=30-36,Childish disease=0,alcohol consumption=0.6} => {diagnosis=O}",0.01,1,8.33333333333333
"93","{Seasons=1,Childish disease=0,Accident/trauma=0,alcohol consumption=0.6} => {diagnosis=O}",0.01,1,8.33333333333333
"94","{Seasons=1,Childish disease=0,fevers in past year=0,alcohol consumption=0.6} => {diagnosis=O}",0.01,1,8.33333333333333
"95","{Seasons=1,Childish disease=0,alcohol consumption=0.6,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"96","{Childish disease=0,Accident/trauma=0,Surgeries=1,alcohol consumption=0.6} => {diagnosis=O}",0.02,1,8.33333333333333
"97","{Age=30-36,Childish disease=0,Accident/trauma=0,alcohol consumption=0.6} => {diagnosis=O}",0.02,1,8.33333333333333
"98","{Childish disease=0,Accident/trauma=0,fevers in past year=0,alcohol consumption=0.6} => {diagnosis=O}",0.02,1,8.33333333333333
"99","{Childish disease=0,Accident/trauma=0,alcohol consumption=0.6,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.02,1,8.33333333333333
"100","{Seasons=-1,Childish disease=0,Surgeries=1,smoking habbit=0} => {diagnosis=O}",0.01,1,8.33333333333333
"101","{Seasons=-1,Age=30-36,Childish disease=0,smoking habbit=0} => {diagnosis=O}",0.01,1,8.33333333333333
"102","{Seasons=-1,Childish disease=0,Accident/trauma=0,smoking habbit=0} => {diagnosis=O}",0.01,1,8.33333333333333
"103","{Seasons=-1,Childish disease=0,fevers in past year=0,smoking habbit=0} => {diagnosis=O}",0.01,1,8.33333333333333
"104","{Seasons=-1,Childish disease=0,smoking habbit=0,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"105","{Seasons=1,Childish disease=0,Surgeries=1,smoking habbit=0} => {diagnosis=O}",0.01,1,8.33333333333333
"106","{Seasons=1,Age=30-36,Childish disease=0,smoking habbit=0} => {diagnosis=O}",0.01,1,8.33333333333333
"107","{Seasons=1,Childish disease=0,fevers in past year=0,smoking habbit=0} => {diagnosis=O}",0.01,1,8.33333333333333
"108","{Seasons=1,Childish disease=0,smoking habbit=0,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"109","{Childish disease=0,Accident/trauma=0,Surgeries=1,smoking habbit=0} => {diagnosis=O}",0.02,1,8.33333333333333
"110","{Childish disease=0,Surgeries=1,smoking habbit=0,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.02,1,8.33333333333333
"111","{Age=30-36,Childish disease=0,Accident/trauma=0,smoking habbit=0} => {diagnosis=O}",0.02,1,8.33333333333333
"112","{Age=30-36,Childish disease=0,smoking habbit=0,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.02,1,8.33333333333333
"113","{Childish disease=0,Accident/trauma=0,fevers in past year=0,smoking habbit=0} => {diagnosis=O}",0.02,1,8.33333333333333
"114","{Childish disease=0,Accident/trauma=0,smoking habbit=0,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.02,1,8.33333333333333
"115","{Childish disease=0,fevers in past year=0,smoking habbit=0,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.02,1,8.33333333333333
"116","{Seasons=-1,Childish disease=0,Accident/trauma=0,Surgeries=1} => {diagnosis=O}",0.01,1,8.33333333333333
"117","{Seasons=-1,Age=30-36,Childish disease=0,Accident/trauma=0} => {diagnosis=O}",0.01,1,8.33333333333333
"118","{Seasons=-1,Childish disease=0,Accident/trauma=0,fevers in past year=0} => {diagnosis=O}",0.01,1,8.33333333333333
"119","{Seasons=-1,Childish disease=0,Accident/trauma=0,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"120","{Seasons=-1,fevers in past year=0,alcohol consumption=0.6,smoking habbit=0} => {diagnosis=O}",0.01,1,8.33333333333333
"121","{Seasons=-1,Accident/trauma=0,fevers in past year=0,alcohol consumption=0.6} => {diagnosis=O}",0.01,1,8.33333333333333
"122","{Seasons=1,Accident/trauma=1,fevers in past year=1,alcohol consumption=0.6} => {diagnosis=O}",0.01,1,8.33333333333333
"123","{Seasons=1,Age=30-36,fevers in past year=1,alcohol consumption=0.6} => {diagnosis=O}",0.01,1,8.33333333333333
"124","{Seasons=1,fevers in past year=1,alcohol consumption=0.6,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"125","{Seasons=1,Accident/trauma=1,Surgeries=0,alcohol consumption=0.6} => {diagnosis=O}",0.01,1,8.33333333333333
"126","{Seasons=1,Accident/trauma=1,alcohol consumption=0.6,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"127","{Seasons=1,Surgeries=0,alcohol consumption=0.6,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"128","{Seasons=1,Surgeries=1,alcohol consumption=0.6,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"129","{Seasons=1,Accident/trauma=0,Surgeries=1,alcohol consumption=0.6} => {diagnosis=O}",0.02,1,8.33333333333333
"130","{Seasons=1,Age=30-36,alcohol consumption=0.6,smoking habbit=-1} => {diagnosis=O}",0.02,1,8.33333333333333
"131","{Seasons=1,Accident/trauma=0,alcohol consumption=0.6,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"132","{Seasons=1,fevers in past year=0,alcohol consumption=0.6,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"133","{Seasons=1,alcohol consumption=0.6,smoking habbit=-1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.02,1,8.33333333333333
"134","{Seasons=1,Childish disease=1,alcohol consumption=0.6,smoking habbit=-1} => {diagnosis=O}",0.02,1,8.33333333333333
"135","{Accident/trauma=0,Surgeries=1,alcohol consumption=0.6,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"136","{Accident/trauma=0,Surgeries=1,fevers in past year=0,alcohol consumption=0.6} => {diagnosis=O}",0.03,1,8.33333333333333
"137","{Accident/trauma=0,fevers in past year=0,alcohol consumption=0.6,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"138","{Seasons=-0.33,fevers in past year=1,alcohol consumption=1,smoking habbit=1} => {diagnosis=O}",0.01,1,8.33333333333333
"139","{Seasons=-0.33,Surgeries=0,fevers in past year=1,smoking habbit=1} => {diagnosis=O}",0.01,1,8.33333333333333
"140","{Seasons=-0.33,Accident/trauma=0,fevers in past year=1,smoking habbit=1} => {diagnosis=O}",0.01,1,8.33333333333333
"141","{Age=30-36,Surgeries=0,fevers in past year=1,smoking habbit=1} => {diagnosis=O}",0.01,1,8.33333333333333
"142","{Seasons=1,Age=30-36,Accident/trauma=0,smoking habbit=1} => {diagnosis=O}",0.01,1,8.33333333333333
"143","{Seasons=-0.33,Surgeries=0,alcohol consumption=1,smoking habbit=1} => {diagnosis=O}",0.01,1,8.33333333333333
"144","{Seasons=-0.33,Accident/trauma=0,alcohol consumption=1,smoking habbit=1} => {diagnosis=O}",0.01,1,8.33333333333333
"145","{Seasons=-0.33,Accident/trauma=0,Surgeries=0,smoking habbit=1} => {diagnosis=O}",0.01,1,8.33333333333333
"146","{Seasons=-0.33,Age=30-36,Accident/trauma=0,smoking habbit=1} => {diagnosis=O}",0.02,1,8.33333333333333
"147","{Age=30-36,Surgeries=0,alcohol consumption=0.8,smoking habbit=1} => {diagnosis=O}",0.01,1,8.33333333333333
"148","{Age=30-36,Accident/trauma=0,alcohol consumption=0.8,smoking habbit=1} => {diagnosis=O}",0.02,1,8.33333333333333
"149","{Seasons=-1,Age=30-36,fevers in past year=0,smoking habbit=0} => {diagnosis=O}",0.01,1,8.33333333333333
"150","{Seasons=1,Accident/trauma=0,Surgeries=1,smoking habbit=0} => {diagnosis=O}",0.01,1,8.33333333333333
"151","{Seasons=1,Accident/trauma=1,Surgeries=0,fevers in past year=1} => {diagnosis=O}",0.01,1,8.33333333333333
"152","{Seasons=1,Age=30-36,Accident/trauma=1,fevers in past year=1} => {diagnosis=O}",0.01,1,8.33333333333333
"153","{Seasons=1,Accident/trauma=1,fevers in past year=1,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"154","{Seasons=1,Accident/trauma=1,fevers in past year=1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"155","{Seasons=1,Childish disease=1,Accident/trauma=1,fevers in past year=1} => {diagnosis=O}",0.01,1,8.33333333333333
"156","{Seasons=1,Age=30-36,Surgeries=0,fevers in past year=1} => {diagnosis=O}",0.01,1,8.33333333333333
"157","{Seasons=1,Surgeries=0,fevers in past year=1,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"158","{Seasons=1,Age=30-36,fevers in past year=1,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"159","{Seasons=1,Age=30-36,fevers in past year=1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"160","{Seasons=1,Age=30-36,Childish disease=1,fevers in past year=1} => {diagnosis=O}",0.01,1,8.33333333333333
"161","{Seasons=1,fevers in past year=1,smoking habbit=-1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"162","{Seasons=1,Childish disease=1,fevers in past year=1,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"163","{Seasons=1,Childish disease=1,Accident/trauma=0,alcohol consumption=0.8} => {diagnosis=O}",0.02,1,8.33333333333333
"165","{Seasons=-0.33,Age=30-36,Accident/trauma=0,alcohol consumption=1} => {diagnosis=O}",0.01,1,8.33333333333333
"166","{Seasons=0.33,Age=30-36,Surgeries=1,alcohol consumption=0.8,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"167","{Seasons=0.33,Age=30-36,Accident/trauma=0,Surgeries=1,alcohol consumption=0.8} => {diagnosis=O}",0.01,1,8.33333333333333
"168","{Seasons=0.33,Age=30-36,Surgeries=1,fevers in past year=0,alcohol consumption=0.8} => {diagnosis=O}",0.01,1,8.33333333333333
"169","{Seasons=0.33,Age=30-36,Surgeries=1,alcohol consumption=0.8,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"170","{Seasons=0.33,Age=30-36,Childish disease=1,Surgeries=1,alcohol consumption=0.8} => {diagnosis=O}",0.01,1,8.33333333333333
"171","{Seasons=0.33,Accident/trauma=0,Surgeries=1,alcohol consumption=0.8,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"172","{Seasons=0.33,Surgeries=1,fevers in past year=0,alcohol consumption=0.8,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"173","{Seasons=0.33,Surgeries=1,alcohol consumption=0.8,smoking habbit=-1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"174","{Seasons=0.33,Childish disease=1,Surgeries=1,alcohol consumption=0.8,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"175","{Seasons=0.33,Accident/trauma=0,Surgeries=1,fevers in past year=0,alcohol consumption=0.8} => {diagnosis=O}",0.01,1,8.33333333333333
"176","{Seasons=0.33,Accident/trauma=0,Surgeries=1,alcohol consumption=0.8,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"177","{Seasons=0.33,Childish disease=1,Accident/trauma=0,Surgeries=1,alcohol consumption=0.8} => {diagnosis=O}",0.01,1,8.33333333333333
"178","{Seasons=0.33,Surgeries=1,fevers in past year=0,alcohol consumption=0.8,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"179","{Seasons=0.33,Childish disease=1,Surgeries=1,fevers in past year=0,alcohol consumption=0.8} => {diagnosis=O}",0.01,1,8.33333333333333
"180","{Seasons=0.33,Childish disease=1,Surgeries=1,alcohol consumption=0.8,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"181","{Seasons=0.33,Age=30-36,Accident/trauma=0,alcohol consumption=0.8,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"182","{Seasons=0.33,Age=30-36,Accident/trauma=0,fevers in past year=0,alcohol consumption=0.8} => {diagnosis=O}",0.01,1,8.33333333333333
"183","{Seasons=0.33,Age=30-36,Accident/trauma=0,alcohol consumption=0.8,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"184","{Seasons=0.33,Age=30-36,Childish disease=1,Accident/trauma=0,alcohol consumption=0.8} => {diagnosis=O}",0.01,1,8.33333333333333
"185","{Seasons=0.33,Accident/trauma=0,fevers in past year=0,alcohol consumption=0.8,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"186","{Seasons=0.33,Accident/trauma=0,alcohol consumption=0.8,smoking habbit=-1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"187","{Seasons=0.33,Childish disease=1,Accident/trauma=0,alcohol consumption=0.8,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"188","{Seasons=0.33,Accident/trauma=0,fevers in past year=0,alcohol consumption=0.8,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"189","{Seasons=0.33,Childish disease=1,Accident/trauma=0,fevers in past year=0,alcohol consumption=0.8} => {diagnosis=O}",0.01,1,8.33333333333333
"190","{Seasons=0.33,Childish disease=1,Accident/trauma=0,alcohol consumption=0.8,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"191","{Seasons=0.33,Age=30-36,Accident/trauma=0,Surgeries=1,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"192","{Seasons=0.33,Age=30-36,Surgeries=1,fevers in past year=0,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"193","{Seasons=0.33,Age=30-36,Surgeries=1,smoking habbit=-1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"194","{Seasons=0.33,Age=30-36,Childish disease=1,Surgeries=1,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"195","{Seasons=0.33,Age=30-36,Accident/trauma=0,Surgeries=1,fevers in past year=0} => {diagnosis=O}",0.01,1,8.33333333333333
"196","{Seasons=0.33,Age=30-36,Accident/trauma=0,Surgeries=1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"197","{Seasons=0.33,Age=30-36,Childish disease=1,Accident/trauma=0,Surgeries=1} => {diagnosis=O}",0.01,1,8.33333333333333
"198","{Seasons=0.33,Age=30-36,Surgeries=1,fevers in past year=0,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"199","{Seasons=0.33,Age=30-36,Childish disease=1,Surgeries=1,fevers in past year=0} => {diagnosis=O}",0.01,1,8.33333333333333
"200","{Seasons=0.33,Age=30-36,Childish disease=1,Surgeries=1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"201","{Seasons=0.33,Accident/trauma=0,Surgeries=1,fevers in past year=0,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"202","{Seasons=0.33,Accident/trauma=0,Surgeries=1,smoking habbit=-1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"203","{Seasons=0.33,Childish disease=1,Accident/trauma=0,Surgeries=1,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"204","{Seasons=0.33,Surgeries=1,fevers in past year=0,smoking habbit=-1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"205","{Seasons=0.33,Childish disease=1,Surgeries=1,fevers in past year=0,smoking habbit=-1} => {diagnosis=O}",0.01,1,8.33333333333333
"206","{Seasons=0.33,Childish disease=1,Surgeries=1,smoking habbit=-1,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
"207","{Seasons=0.33,Accident/trauma=0,Surgeries=1,fevers in past year=0,hours spent sitting=less than 8 hours} => {diagnosis=O}",0.01,1,8.33333333333333
